"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2019"
"1827 Dønna";1391
"1828 Nesna";1792
"1832 Hemnes";4501
"1833 Rana";26315
"1834 Lurøy";1904
"1835 Træna";456
"1836 Rødøy";1238
"1837 Meløy";6331
"1838 Gildeskål";1978
"1839 Beiarn";1022
"1840 Saltdal";4657
"1841 Fauske - Fuosko";9760
"1842 Skjerstad (-2004)";0
"1843 Bodin (-1967)";0
"1845 Sørfold";1975
"1848 Steigen";2576
"1849 Hamarøy - Hábmer";1747
"1850 Divtasvuodna - Tysfjord";1925
"1851 Lødingen";2077
"1852 Tjeldsund";1259
"1853 Evenes";1387
"1854 Ballangen";2470
"1855 Ankenes (-1973)";0
"1856 Røst";508
"1857 Værøy";732
"1858 Moskenes (1916-1975)";0
"1859 Flakstad";1292
"1860 Vestvågøy";11480
"1865 Vågan";9595
"1866 Hadsel";8091
"1867 Bø (Nordland)";2616
"1868 Øksnes";4449
"1870 Sortland - Suortá";10518
"1871 Andøy";4771
"1874 Moskenes";1039
"1899 Uoppgitt kommune Nordland";0
"1901 Harstad (-2012)";0
"1902 Tromsø";76649
"1903 Harstad - Hárstták";24827
"1911 Kvæfjord";2858
"1913 Skånland";3009
"1915 Bjarkøy (-2012)";0
"1917 Ibestad";1375
"1919 Gratangen";1105
"1920 Loabák - Lavangen";1042
"1921 Salangen (-1976)";0
"1922 Bardu";4030
"1923 Salangen";2183
"1924 Målselv";6805
"1925 Sørreisa";3489
"1926 Dyrøy";1129
"1927 Tranøy";1513
"1928 Torsken";931
"1929 Berg";888
"1931 Lenvik";11679
"1933 Balsfjord";5625
"1936 Karlsøy";2252
"1938 Lyngen";2847
"1939 Storfjord - Omasvuotna - Omasvuono";1841
"1940 Gáivuotna - Kåfjord - Kaivuono";2097
"1941 Skjervøy";2917
"1942 Nordreisa - Ráisa - Raisi";4909
"1943 Kvænangen";1202
"1999 Uoppgitt kommune Troms";0
"2001 Hammerfest (-1991)";0
"2002 Vardø";2081
"2003 Vadsø";5894
"2004 Hammerfest";10536
"2011 Guovdageaidnu - Kautokeino";2924
"2012 Alta";20665
"2014 Loppa";917
"2015 Hasvik";1045
"2016 Sørøysund (-1991)";0
"2017 Kvalsund";988
"2018 Måsøy";1235
"2019 Nordkapp";3218
"2020 Porsanger - Porsángu - Porsanki";3944
"2021 Kárásjohka - Karasjok";2673
"2022 Lebesby";1328
"2023 Gamvik";1169
"2024 Berlevåg";981
"2025 Deatnu - Tana";2900
"2027 Unjárga - Nesseby";941
"2028 Båtsfjord";2270
"2030 Sør-Varanger";10156
"2099 Uoppgitt kommune Finnmark";0
"2111 Longyearbyen";0
"2112 Ny-Ålesund";0
"2115 Svea";0
"2121 Bjørnøya";0
"2131 Hopen";0
"2199 Uoppgitt kommune Svalbard";0
"2211 Jan Mayen";0
"2299 Uoppgitt Jan Mayen";0
"2300 Kontinentalsokkelen";0
"2311 Sokkelen sør for 62° N";0
"2321 Sokkelen nord for 62° N";0
"2399 Sokkelen, uspesifisert";0
"9999 Uoppgitt kommune";0
